case_id,case_name,expected_decision,telemetry_json,is_novel,category
N15,NSG Deny SSH + Troubleshoot Allow + App Unhealthy,diagnose_low_confidence,"{""power_state"": ""Running"", ""provisioning_state"": ""Succeeded"", ""resource_health_status"": ""Available"", ""heartbeat_present"": true, ""azure_vm_agent_status"": ""Healthy"", ""boot_diagnostics_status"": ""Normal"", ""cpu_percent"": 25.0, ""memory_percent"": 40.0, ""os_disk_percent_full"": 35.0, ""app_health_status"": ""Unhealthy"", ""nsg_allow_rdp_3389"": true, ""nsg_allow_ssh_22"": false, ""connection_troubleshoot_rdp"": ""Allow"", ""connection_troubleshoot_ssh"": ""Allow"", ""monitor_agent_status"": ""Healthy"", ""ssl_cert_days_remaining"": 45}",True,network_healthy_guest
N16,Degraded Health + Normal Metrics + No Annotation,diagnose_low_confidence,"{""power_state"": ""Running"", ""provisioning_state"": ""Succeeded"", ""resource_health_status"": ""Degraded"", ""heartbeat_present"": true, ""azure_vm_agent_status"": ""Healthy"", ""boot_diagnostics_status"": ""Normal"", ""cpu_percent"": 30.0, ""memory_percent"": 40.0, ""os_disk_percent_full"": 35.0, ""app_health_status"": ""Healthy"", ""nsg_allow_rdp_3389"": true, ""nsg_allow_ssh_22"": true, ""monitor_agent_status"": ""Healthy"", ""ssl_cert_days_remaining"": 90}",True,resource_health_inconclusive
N17,Unavailable Health + Running + Normal CPU,diagnose_low_confidence,"{""power_state"": ""Running"", ""provisioning_state"": ""Succeeded"", ""resource_health_status"": ""Unavailable"", ""heartbeat_present"": true, ""azure_vm_agent_status"": ""Healthy"", ""boot_diagnostics_status"": ""Normal"", ""cpu_percent"": 35.0, ""memory_percent"": 45.0, ""os_disk_percent_full"": 40.0, ""app_health_status"": ""Healthy"", ""nsg_allow_rdp_3389"": true, ""nsg_allow_ssh_22"": true, ""monitor_agent_status"": ""Healthy"", ""ssl_cert_days_remaining"": 60}",True,resource_health_inconclusive
N18,Degraded Health + Backup Failed + Moderate Load,diagnose_low_confidence,"{""power_state"": ""Running"", ""provisioning_state"": ""Succeeded"", ""resource_health_status"": ""Degraded"", ""heartbeat_present"": true, ""azure_vm_agent_status"": ""Healthy"", ""boot_diagnostics_status"": ""Normal"", ""cpu_percent"": 55.0, ""memory_percent"": 60.0, ""os_disk_percent_full"": 50.0, ""app_health_status"": ""Healthy"", ""nsg_allow_rdp_3389"": true, ""nsg_allow_ssh_22"": true, ""monitor_agent_status"": ""Healthy"", ""last_backup_status"": ""Failed"", ""ssl_cert_days_remaining"": 90}",True,resource_health_inconclusive
N19,Degraded Health + SSL Expired + Agent OK,diagnose_low_confidence,"{""power_state"": ""Running"", ""provisioning_state"": ""Succeeded"", ""resource_health_status"": ""Degraded"", ""heartbeat_present"": true, ""azure_vm_agent_status"": ""Healthy"", ""boot_diagnostics_status"": ""Normal"", ""cpu_percent"": 30.0, ""memory_percent"": 40.0, ""os_disk_percent_full"": 35.0, ""app_health_status"": ""Healthy"", ""nsg_allow_rdp_3389"": true, ""nsg_allow_ssh_22"": true, ""monitor_agent_status"": ""Healthy"", ""ssl_cert_days_remaining"": 0}",True,resource_health_inconclusive
N20,Unavailable Health + High Disk + App Degraded,diagnose_low_confidence,"{""power_state"": ""Running"", ""provisioning_state"": ""Succeeded"", ""resource_health_status"": ""Unavailable"", ""heartbeat_present"": true, ""azure_vm_agent_status"": ""Healthy"", ""boot_diagnostics_status"": ""Normal"", ""cpu_percent"": 40.0, ""memory_percent"": 50.0, ""os_disk_percent_full"": 88.0, ""app_health_status"": ""Degraded"", ""nsg_allow_rdp_3389"": true, ""nsg_allow_ssh_22"": true, ""monitor_agent_status"": ""Healthy"", ""ssl_cert_days_remaining"": 30}",True,resource_health_inconclusive
N21,Moderate CPU + High Memory + Disk Pressure + App OK,diagnose_low_confidence,"{""power_state"": ""Running"", ""provisioning_state"": ""Succeeded"", ""resource_health_status"": ""Available"", ""heartbeat_present"": true, ""azure_vm_agent_status"": ""Healthy"", ""boot_diagnostics_status"": ""Normal"", ""cpu_percent"": 75.0, ""memory_percent"": 85.0, ""os_disk_percent_full"": 80.0, ""app_health_status"": ""Healthy"", ""nsg_allow_rdp_3389"": true, ""nsg_allow_ssh_22"": true, ""monitor_agent_status"": ""Healthy"", ""ssl_cert_days_remaining"": 90}",True,multi_signal_ambiguous
N22,Low CPU + High Memory + Agent Degraded + Backup Failed,diagnose_low_confidence,"{""power_state"": ""Running"", ""provisioning_state"": ""Succeeded"", ""resource_health_status"": ""Available"", ""heartbeat_present"": true, ""azure_vm_agent_status"": ""Degraded"", ""boot_diagnostics_status"": ""Normal"", ""cpu_percent"": 15.0, ""memory_percent"": 92.0, ""os_disk_percent_full"": 45.0, ""app_health_status"": ""Healthy"", ""nsg_allow_rdp_3389"": true, ""nsg_allow_ssh_22"": true, ""monitor_agent_status"": ""Degraded"", ""last_backup_status"": ""Failed"", ""ssl_cert_days_remaining"": 60}",True,multi_signal_ambiguous
N23,High CPU + Normal Memory + SSL Expiring + App Degraded,diagnose_low_confidence,"{""power_state"": ""Running"", ""provisioning_state"": ""Succeeded"", ""resource_health_status"": ""Degraded"", ""heartbeat_present"": true, ""azure_vm_agent_status"": ""Healthy"", ""boot_diagnostics_status"": ""Normal"", ""cpu_percent"": 92.0, ""memory_percent"": 45.0, ""os_disk_percent_full"": 40.0, ""app_health_status"": ""Degraded"", ""nsg_allow_rdp_3389"": true, ""nsg_allow_ssh_22"": true, ""monitor_agent_status"": ""Healthy"", ""ssl_cert_days_remaining"": 3}",True,multi_signal_ambiguous
N24,Boot Stuck + Agent OK + App Healthy,diagnose_low_confidence,"{""power_state"": ""Running"", ""provisioning_state"": ""Succeeded"", ""resource_health_status"": ""Available"", ""heartbeat_present"": true, ""azure_vm_agent_status"": ""Healthy"", ""boot_diagnostics_status"": ""Stuck"", ""cpu_percent"": 30.0, ""memory_percent"": 40.0, ""os_disk_percent_full"": 35.0, ""app_health_status"": ""Healthy"", ""nsg_allow_rdp_3389"": true, ""nsg_allow_ssh_22"": true, ""monitor_agent_status"": ""Healthy"", ""ssl_cert_days_remaining"": 90}",True,multi_signal_ambiguous
N25,Normal Metrics + Disk IO High + Monitor Failed,diagnose_low_confidence,"{""power_state"": ""Running"", ""provisioning_state"": ""Succeeded"", ""resource_health_status"": ""Available"", ""heartbeat_present"": true, ""azure_vm_agent_status"": ""Healthy"", ""boot_diagnostics_status"": ""Normal"", ""cpu_percent"": 25.0, ""memory_percent"": 35.0, ""os_disk_latency_ms"": 200.0, ""os_disk_percent_full"": 40.0, ""app_health_status"": ""Healthy"", ""nsg_allow_rdp_3389"": true, ""nsg_allow_ssh_22"": true, ""monitor_agent_status"": ""Failed"", ""ssl_cert_days_remaining"": 90}",True,multi_signal_ambiguous
N26,Platform Available + App Unhealthy + All Metrics Normal,diagnose_low_confidence,"{""power_state"": ""Running"", ""provisioning_state"": ""Succeeded"", ""resource_health_status"": ""Available"", ""heartbeat_present"": true, ""azure_vm_agent_status"": ""Healthy"", ""boot_diagnostics_status"": ""Normal"", ""cpu_percent"": 20.0, ""memory_percent"": 30.0, ""os_disk_percent_full"": 25.0, ""app_health_status"": ""Unhealthy"", ""app_error_message"": ""Connection pool exhausted"", ""nsg_allow_rdp_3389"": true, ""nsg_allow_ssh_22"": true, ""monitor_agent_status"": ""Healthy"", ""ssl_cert_days_remaining"": 90}",True,cross_subsystem
N27,Backup Failed + Disk 75% + SSL 7 days + App OK,diagnose_low_confidence,"{""power_state"": ""Running"", ""provisioning_state"": ""Succeeded"", ""resource_health_status"": ""Available"", ""heartbeat_present"": true, ""azure_vm_agent_status"": ""Healthy"", ""boot_diagnostics_status"": ""Normal"", ""cpu_percent"": 30.0, ""memory_percent"": 40.0, ""os_disk_percent_full"": 75.0, ""app_health_status"": ""Healthy"", ""nsg_allow_rdp_3389"": true, ""nsg_allow_ssh_22"": true, ""monitor_agent_status"": ""Healthy"", ""last_backup_status"": ""Failed"", ""ssl_cert_days_remaining"": 7}",True,cross_subsystem
N28,Memory 90% + CPU Normal + Agent Degraded + Disk OK,diagnose_low_confidence,"{""power_state"": ""Running"", ""provisioning_state"": ""Succeeded"", ""resource_health_status"": ""Available"", ""heartbeat_present"": true, ""azure_vm_agent_status"": ""Degraded"", ""boot_diagnostics_status"": ""Normal"", ""cpu_percent"": 25.0, ""memory_percent"": 90.0, ""os_disk_percent_full"": 35.0, ""app_health_status"": ""Healthy"", ""nsg_allow_rdp_3389"": true, ""nsg_allow_ssh_22"": true, ""monitor_agent_status"": ""Degraded"", ""ssl_cert_days_remaining"": 90}",True,cross_subsystem
N29,CPU 80% + Disk 70% + Memory 70% + All Agents OK,diagnose_low_confidence,"{""power_state"": ""Running"", ""provisioning_state"": ""Succeeded"", ""resource_health_status"": ""Available"", ""heartbeat_present"": true, ""azure_vm_agent_status"": ""Healthy"", ""boot_diagnostics_status"": ""Normal"", ""cpu_percent"": 80.0, ""memory_percent"": 70.0, ""os_disk_percent_full"": 70.0, ""app_health_status"": ""Healthy"", ""nsg_allow_rdp_3389"": true, ""nsg_allow_ssh_22"": true, ""monitor_agent_status"": ""Healthy"", ""ssl_cert_days_remaining"": 90}",True,cross_subsystem
N30,Provisioning Updating + Running + Agent OK + App Degraded,diagnose_low_confidence,"{""power_state"": ""Running"", ""provisioning_state"": ""Succeeded"", ""resource_health_status"": ""Degraded"", ""heartbeat_present"": true, ""azure_vm_agent_status"": ""Healthy"", ""boot_diagnostics_status"": ""Normal"", ""cpu_percent"": 45.0, ""memory_percent"": 55.0, ""os_disk_percent_full"": 50.0, ""app_health_status"": ""Degraded"", ""nsg_allow_rdp_3389"": true, ""nsg_allow_ssh_22"": true, ""monitor_agent_status"": ""Healthy"", ""ssl_cert_days_remaining"": 15}",True,cross_subsystem
